localW	localH	local-size	tsk	trw	trh	tsw	tsh	n-size	realization	nounroll	gpu-time	Column 13
32	4	128	12	8	6	256	24	2	2	0	18.875521	
16	4	64	8	8	4	128	16	4	2	0	18.888399	
8	4	32	4	8	8	64	32	4	2	0	18.951	
8	4	32	4	20	6	160	24	4	2	0	18.96508	
16	4	64	16	16	6	256	24	4	2	0	18.98892	
16	2	32	4	8	8	128	16	2	2	0	19.031321	
16	8	128	8	8	6	128	48	2	2	0	19.14032	
32	4	128	12	16	6	512	24	4	2	0	19.1654	
32	2	64	8	12	8	384	16	4	2	0	19.257919	
8	4	32	4	12	6	96	24	2	2	0	19.2598	
8	4	32	8	8	4	64	16	4	2	0	19.26252	
32	4	128	12	20	8	640	32	2	2	0	19.284361	
16	4	64	8	20	8	320	32	2	2	0	19.308201	
16	2	32	8	12	8	192	16	4	2	0	19.336679	
32	2	64	4	8	8	256	16	2	2	0	19.35988	
16	8	128	8	20	4	320	32	2	2	0	19.36092	
8	4	32	4	16	8	128	32	2	2	0	19.507	
32	4	128	8	16	6	512	24	4	2	0	19.528919	
16	4	64	8	20	6	320	24	2	2	0	19.5658	
16	8	128	12	8	6	128	48	2	2	0	19.57276	
32	4	128	4	20	6	640	24	4	2	0	19.636959	
32	4	128	8	20	8	640	32	2	2	0	19.726839	
16	8	128	16	8	6	128	48	2	2	0	19.73468	
16	8	128	8	16	6	256	48	4	2	0	19.797001	
16	4	64	16	8	6	128	24	2	2	0	19.799919	
16	4	64	8	16	4	256	16	4	2	0	19.80356	
16	4	64	4	20	6	320	24	4	2	0	19.88356	
16	4	64	12	12	6	192	24	2	2	0	19.95516	
16	4	64	16	12	8	192	32	2	2	0	20.0224	
32	4	128	16	12	4	384	16	4	2	0	20.150681	
16	4	64	8	12	4	192	16	2	2	0	20.156481	
16	4	64	4	20	8	320	32	2	2	0	20.25392	
32	2	64	8	8	8	256	16	2	2	0	20.271	
8	4	32	4	20	8	160	32	2	2	0	20.337481	
16	2	32	4	16	8	256	16	4	2	0	20.34524	
16	8	128	16	8	4	128	32	4	2	0	20.36244	
16	8	128	12	20	4	320	32	2	2	0	20.398199	
32	4	128	12	12	6	384	24	2	2	0	20.44956	
16	2	32	8	16	8	256	16	4	2	0	20.48036	
32	4	128	4	20	8	640	32	2	2	0	20.60084	
16	8	128	8	16	8	256	64	2	2	0	20.631121	
16	4	64	4	12	4	192	16	2	2	0	20.671961	
32	2	64	16	8	8	256	16	4	2	0	20.732479	
8	4	32	4	8	4	64	16	4	2	0	20.749201	
32	4	128	12	8	4	256	16	4	2	0	20.790359	
32	2	64	4	16	8	512	16	4	2	0	20.8186	
16	2	32	4	20	8	320	16	4	2	0	20.84968	
16	2	32	8	8	6	128	12	4	2	0	20.85836	
32	4	128	8	8	4	256	16	4	2	0	20.87232	
32	4	128	4	16	6	512	24	4	2	0	20.87808	
32	2	64	4	20	8	640	16	4	2	0	20.88868	
8	4	32	8	12	4	96	16	2	2	0	20.96352	
16	4	64	12	20	6	320	24	4	2	0	20.99144	
16	2	32	16	8	8	128	16	4	2	0	21.018961	
32	4	128	8	20	6	640	24	2	2	0	21.022079	
32	2	64	4	8	6	256	12	4	2	0	21.023439	
16	4	64	4	8	4	128	16	2	2	0	21.0676	
32	2	64	8	8	6	256	12	4	2	0	21.2152	
16	2	32	4	8	6	128	12	4	2	0	21.233919	
32	4	128	8	12	4	384	16	2	2	0	21.256241	
16	4	64	16	8	4	128	16	4	2	0	21.29364	
16	8	128	4	20	4	320	32	2	2	0	21.30332	
32	4	128	8	16	8	512	32	2	2	0	21.311001	
16	8	128	16	16	8	256	64	2	2	0	21.371321	
16	8	128	12	20	2	320	16	4	2	0	21.397881	
8	4	32	4	16	4	128	16	2	2	0	21.409519	
16	2	32	4	12	6	192	12	4	2	0	21.47168	
16	4	64	16	12	4	192	16	4	2	0	21.49312	
32	4	128	4	16	8	512	32	4	2	0	21.506439	
32	4	128	16	8	6	256	24	2	2	0	21.521799	
16	8	128	4	16	8	256	64	2	2	0	21.54508	
8	4	32	4	12	4	96	16	2	2	0	21.548401	
16	8	128	12	16	8	256	64	2	2	0	21.55332	
32	4	128	4	8	4	256	16	4	2	0	21.609159	
16	4	64	12	8	4	128	16	2	2	0	21.62248	
16	4	64	4	16	8	256	32	2	2	0	21.6716	
16	8	128	4	20	2	320	16	4	2	0	21.6856	
32	2	64	4	12	8	384	16	2	2	0	21.726919	
32	4	128	4	8	8	256	32	4	2	0	21.74572	
32	4	128	4	20	6	640	24	2	2	0	21.836081	
16	4	64	8	8	4	128	16	2	2	0	21.87536	
16	2	32	4	12	8	192	16	2	2	0	21.87808	
16	2	32	8	8	8	128	16	2	2	0	21.89464	
16	4	64	4	20	6	320	24	2	2	0	21.9142	
16	4	64	8	16	6	256	24	2	2	0	21.91452	
16	4	64	12	20	8	320	32	2	2	0	21.98332	
32	2	64	8	16	8	512	16	4	2	0	22.08432	
16	8	128	16	20	2	320	16	4	2	0	22.126961	
32	4	128	8	20	4	640	16	4	2	0	22.13072	
16	8	128	8	20	2	320	16	4	2	0	22.17128	
16	4	64	8	20	4	320	16	4	2	0	22.17848	
32	4	128	4	12	4	384	16	2	2	0	22.18788	
8	2	16	8	8	8	64	16	4	2	0	22.193119	
32	4	128	16	8	4	256	16	4	2	0	22.217199	
32	2	64	4	12	6	384	12	4	2	0	22.261921	
16	8	128	4	8	6	128	48	2	2	0	22.32052	
16	8	128	4	8	8	128	64	4	2	0	22.4184	
16	8	128	8	12	2	192	16	4	2	0	22.43088	
8	4	32	4	20	6	160	24	2	2	0	22.555799	
8	4	32	4	20	4	160	16	4	2	0	22.607759	
32	2	64	12	8	6	256	12	4	2	0	22.64064	
8	2	16	12	8	8	64	16	4	2	0	22.66456	
32	4	128	4	8	4	256	16	2	2	0	22.799761	
16	8	128	4	12	4	192	32	4	2	0	22.9056	
16	4	64	12	16	8	256	32	2	2	0	22.99612	
32	4	128	4	16	8	512	32	2	2	0	23.038919	
32	4	128	16	12	8	384	32	2	2	0	23.045481	
16	4	64	4	16	4	256	16	4	2	0	23.079041	
16	8	128	4	16	6	256	48	4	2	0	23.083441	
16	8	128	16	20	4	320	32	2	2	0	23.103081	
32	4	128	4	20	4	640	16	4	2	0	23.111361	
16	2	32	12	8	6	128	12	4	2	0	23.132721	
16	8	128	8	8	4	128	32	4	2	0	23.146761	
16	8	128	4	8	6	128	48	4	2	0	23.147079	
16	8	128	4	16	8	256	64	4	2	0	23.228041	
16	4	64	4	20	4	320	16	4	2	0	23.23036	
16	4	64	12	16	4	256	16	4	2	0	23.25596	
16	8	128	12	12	2	192	16	4	2	0	23.291639	
16	2	32	4	16	6	256	12	4	2	0	23.2978	
8	4	32	4	16	4	128	16	4	2	0	23.3314	
16	2	32	4	8	6	128	12	2	2	0	23.35824	
32	2	64	4	8	6	256	12	2	2	0	23.60104	
16	8	128	16	12	2	192	16	4	2	0	23.79788	
16	4	64	16	20	8	320	32	4	2	0	23.92308	
16	2	32	8	16	6	256	12	4	2	0	23.980961	
8	2	16	4	8	8	64	16	4	2	0	24.004881	
32	2	64	4	16	6	512	12	4	2	0	24.06624	
32	4	128	8	16	4	512	16	4	2	0	24.103439	
16	8	128	8	8	4	128	32	2	2	0	24.24744	
32	4	128	12	8	4	256	16	2	2	0	24.291241	
32	4	128	12	16	8	512	32	2	2	0	24.32612	
16	8	128	8	12	2	192	16	2	2	0	24.34236	
32	2	64	8	12	6	384	12	4	2	0	24.43964	
32	4	128	8	8	4	256	16	2	2	0	24.44944	
32	4	128	16	12	6	384	24	2	2	0	24.58456	
16	2	32	4	12	6	192	12	2	2	0	24.6	
16	4	64	4	16	6	256	24	2	2	0	24.608641	
16	8	128	4	12	2	192	16	4	2	0	24.66596	
32	2	64	8	8	6	256	12	2	2	0	24.76092	
16	8	128	12	8	4	128	32	2	2	0	24.790239	
16	2	32	8	12	6	192	12	4	2	0	24.812	
16	8	128	16	16	4	256	32	4	2	0	24.978121	
16	4	64	8	20	4	320	16	2	2	0	25.0868	
16	4	64	16	8	4	128	16	2	2	0	25.239281	
32	2	64	8	12	8	384	16	2	2	0	25.31472	
16	8	128	4	12	2	192	16	2	2	0	25.403999	
16	8	128	12	16	4	256	32	4	2	0	25.413759	
16	4	64	16	12	6	192	24	2	2	0	25.43552	
16	4	64	12	20	4	320	16	4	2	0	25.482	
